2023-10-19 14:09:23,736 using args:
2023-10-19 14:09:23,736 Namespace(cuda=False)
2023-10-19 14:09:35,678 [1,    20] Training loss: 4.018
2023-10-19 14:09:38,565 [1,    40] Training loss: 3.260
2023-10-19 14:09:41,457 [1,    60] Training loss: 2.477
2023-10-19 14:09:44,369 [1,    80] Training loss: 2.586
2023-10-19 14:09:47,269 [1,   100] Training loss: 1.767
2023-10-19 14:09:50,157 [1,   120] Training loss: 1.807
2023-10-19 14:09:53,048 [1,   140] Training loss: 1.527
2023-10-19 14:09:55,966 [1,   160] Training loss: 1.186
2023-10-19 14:09:58,878 [1,   180] Training loss: 1.082
2023-10-19 14:10:01,797 [1,   200] Training loss: 1.187
2023-10-19 14:10:04,701 [1,   220] Training loss: 1.259
2023-10-19 14:10:07,632 [1,   240] Training loss: 0.997
2023-10-19 14:10:10,553 [1,   260] Training loss: 1.034
2023-10-19 14:10:13,470 [1,   280] Training loss: 0.880
2023-10-19 14:10:16,374 [1,   300] Training loss: 0.749
2023-10-19 14:10:19,276 [1,   320] Training loss: 0.980
2023-10-19 14:10:22,203 [1,   340] Training loss: 0.800
2023-10-19 14:10:25,108 [1,   360] Training loss: 0.800
2023-10-19 14:10:28,019 [1,   380] Training loss: 0.864
2023-10-19 14:10:30,920 [1,   400] Training loss: 0.666
2023-10-19 14:10:33,838 [1,   420] Training loss: 0.583
2023-10-19 14:10:36,771 [1,   440] Training loss: 0.614
2023-10-19 14:10:39,694 [1,   460] Training loss: 0.607
2023-10-19 14:10:42,615 [1,   480] Training loss: 0.519
2023-10-19 14:10:45,521 [1,   500] Training loss: 0.510
2023-10-19 14:10:48,443 [1,   520] Training loss: 0.673
2023-10-19 14:10:51,395 [1,   540] Training loss: 0.610
2023-10-19 14:10:54,294 [1,   560] Training loss: 0.609
2023-10-19 14:10:57,212 [1,   580] Training loss: 0.457
2023-10-19 14:11:00,132 [1,   600] Training loss: 0.561
2023-10-19 14:11:56,767 [1,    20] Validation loss: 0.254
2023-10-19 14:11:59,628 [1,    40] Validation loss: 0.238
2023-10-19 14:12:02,641 [1,    60] Validation loss: 0.256
2023-10-19 14:13:06,566 [2,    20] Training loss: 0.323
2023-10-19 14:13:09,545 [2,    40] Training loss: 0.544
2023-10-19 14:13:12,466 [2,    60] Training loss: 0.559
2023-10-19 14:13:15,374 [2,    80] Training loss: 0.555
